timestamp,src_ip,src_port,dst_ip,dst_port,protocol,bytes_sent,bytes_received,duration_ms,session_id
2025-07-01T00:08:06,192.0.2.10,57970,151.101.1.69,443,TCP,98124,224853,12000,468
2025-07-01T00:20:06,192.0.2.15,32601,203.0.113.10,443,TCP,108699,805285,112000,323
2025-07-01T00:39:16,192.0.2.50,38820,151.101.1.69,443,TCP,38823,457895,74000,65
2025-07-01T00:40:43,192.0.2.25,49230,93.184.216.34,443,TCP,188051,1244977,44000,114
2025-07-01T01:03:31,192.0.2.10,41764,151.101.1.69,443,TCP,262504,1742395,31000,84
2025-07-01T01:22:58,192.0.2.25,15033,203.0.113.12,443,TCP,265155,538342,80000,401
2025-07-01T01:46:48,192.0.2.30,26336,93.184.216.34,443,TCP,269153,256476,7000,356
2025-07-01T01:51:57,192.0.2.25,23949,198.51.100.66,8443,TCP,1433329,168543,357000,141
2025-07-01T01:54:36,192.0.2.25,47879,203.0.113.12,443,TCP,101723,359155,73000,615
2025-07-01T01:59:24,192.0.2.50,25313,203.0.113.12,443,TCP,221286,1495142,21000,400
2025-07-01T02:37:55,192.0.2.20,45666,142.250.72.238,443,TCP,138021,1995562,120000,136
2025-07-01T02:39:54,192.0.2.10,2247,151.101.193.69,443,TCP,71459,1350985,91000,451
2025-07-01T02:41:11,192.0.2.35,36014,151.101.1.69,443,TCP,241696,2043625,65000,297
2025-07-01T02:45:28,192.0.2.35,62274,203.0.113.10,443,TCP,28985,864720,73000,178
2025-07-01T02:54:35,192.0.2.55,54738,203.0.113.10,443,TCP,139876,1670911,72000,360
2025-07-01T02:56:19,192.0.2.35,22253,151.101.1.69,443,TCP,76825,165100,106000,134
2025-07-01T03:05:49,192.0.2.25,43915,151.101.1.69,443,TCP,90099,1482092,81000,442
2025-07-01T03:10:54,192.0.2.50,59584,151.101.1.69,443,TCP,83128,777726,34000,290
2025-07-01T03:29:46,192.0.2.10,37357,203.0.113.12,443,TCP,19482,1390680,13000,318
2025-07-01T03:44:39,192.0.2.10,39256,203.0.113.12,443,TCP,15861,1284621,113000,657
2025-07-01T03:44:43,192.0.2.40,42946,203.0.113.10,443,TCP,65046,966961,95000,144
2025-07-01T03:55:27,192.0.2.20,5561,151.101.1.69,443,TCP,195255,86518,5000,542
2025-07-01T04:11:02,192.0.2.45,59563,203.0.113.10,443,TCP,109267,893892,119000,386
2025-07-01T04:17:02,192.0.2.35,43247,203.0.113.12,443,TCP,127101,372325,47000,640
2025-07-01T04:28:21,192.0.2.30,13525,151.101.1.69,443,TCP,148194,1039019,84000,49
2025-07-01T04:31:29,192.0.2.40,27853,93.184.216.34,443,TCP,154883,545021,50000,342
2025-07-01T04:37:50,192.0.2.35,23560,203.0.113.11,443,TCP,19028,1309441,101000,609
2025-07-01T04:45:37,192.0.2.25,18720,203.0.113.12,443,TCP,93796,1096405,8000,329
2025-07-01T04:56:32,192.0.2.25,7205,203.0.113.12,443,TCP,166703,1983868,92000,453
2025-07-01T05:09:00,192.0.2.55,9050,93.184.216.34,443,TCP,198480,657365,18000,345
2025-07-01T05:10:42,192.0.2.15,36239,203.0.113.11,443,TCP,87950,754975,73000,91
2025-07-01T05:18:22,192.0.2.10,49927,151.101.193.69,443,TCP,36432,1365376,37000,489
2025-07-01T05:28:30,192.0.2.30,54451,203.0.113.10,443,TCP,269211,1884184,20000,473
2025-07-01T05:33:52,192.0.2.55,42176,93.184.216.34,443,TCP,187499,736210,49000,187
2025-07-01T05:34:35,192.0.2.35,64504,203.0.113.11,443,TCP,215695,2021910,103000,481
2025-07-01T05:36:29,192.0.2.20,32055,151.101.1.69,443,TCP,214550,941751,35000,471
2025-07-01T05:40:15,192.0.2.15,52762,151.101.193.69,443,TCP,130395,144212,102000,285
2025-07-01T05:46:09,192.0.2.30,18353,203.0.113.11,443,TCP,272841,2040544,37000,224
2025-07-01T05:53:04,192.0.2.30,2684,203.0.113.10,443,TCP,112945,476782,103000,83
2025-07-01T05:55:28,192.0.2.25,56743,151.101.193.69,443,TCP,14141,1595743,45000,73
2025-07-01T05:58:57,192.0.2.55,55396,203.0.113.11,443,TCP,31548,411369,119000,122
2025-07-01T06:11:20,192.0.2.50,44004,203.0.113.10,443,TCP,124594,1125905,21000,233
2025-07-01T06:14:59,192.0.2.10,5186,151.101.1.69,443,TCP,266072,814410,93000,691
2025-07-01T06:20:18,192.0.2.25,45428,93.184.216.34,443,TCP,92359,1015973,34000,661
2025-07-01T06:22:25,192.0.2.15,8105,151.101.193.69,443,TCP,123071,713300,54000,474
2025-07-01T06:27:48,192.0.2.50,6277,203.0.113.10,443,TCP,102298,1692521,46000,458
2025-07-01T06:40:20,192.0.2.10,18604,151.101.1.69,443,TCP,31169,554530,47000,177
2025-07-01T07:04:21,192.0.2.30,52713,142.250.72.238,443,TCP,143557,1918413,8000,676
2025-07-01T07:28:48,192.0.2.50,27994,203.0.113.10,443,TCP,146033,1564553,93000,315
2025-07-01T07:29:36,192.0.2.45,48919,151.101.1.69,443,TCP,248625,1521930,58000,51
2025-07-01T07:31:56,192.0.2.35,13587,93.184.216.34,443,TCP,105018,526532,60000,331
2025-07-01T07:40:42,192.0.2.35,6477,203.0.113.10,443,TCP,228272,813116,34000,287
2025-07-01T07:47:06,192.0.2.10,62488,198.51.100.66,8080,TCP,1170955,30884,411000,349
2025-07-01T07:50:05,192.0.2.25,39036,151.101.193.69,443,TCP,119428,200716,92000,33
2025-07-01T08:08:01,192.0.2.10,44684,203.0.113.10,443,TCP,188546,466489,39000,234
2025-07-01T08:16:41,192.0.2.30,36704,93.184.216.34,443,TCP,282069,1028166,17000,229
2025-07-01T08:21:57,192.0.2.50,34680,151.101.193.69,443,TCP,278043,1865538,105000,534
2025-07-01T08:27:50,192.0.2.45,39233,203.0.113.12,443,TCP,75982,1222920,109000,61
2025-07-01T08:28:25,192.0.2.55,30391,93.184.216.34,443,TCP,298795,1981588,16000,167
2025-07-01T08:31:31,192.0.2.45,20717,203.0.113.12,443,TCP,55376,444481,86000,325
2025-07-01T08:47:21,192.0.2.40,20294,203.0.113.10,443,TCP,15138,1031397,22000,562
2025-07-01T08:53:59,192.0.2.10,63555,151.101.193.69,443,TCP,125932,1945879,8000,608
2025-07-01T09:02:50,192.0.2.30,42236,203.0.113.10,443,TCP,202182,501224,66000,557
2025-07-01T09:03:20,192.0.2.25,15386,203.0.113.10,443,TCP,30971,1592089,104000,384
2025-07-01T09:05:42,192.0.2.30,60224,151.101.1.69,443,TCP,246275,1967941,9000,364
2025-07-01T09:06:23,192.0.2.35,57591,93.184.216.34,443,TCP,114158,1833010,21000,547
2025-07-01T09:07:05,192.0.2.50,15380,142.250.72.238,443,TCP,135995,699354,69000,41
2025-07-01T09:07:14,192.0.2.20,3232,203.0.113.10,443,TCP,227858,1834221,56000,467
2025-07-01T09:08:45,192.0.2.30,4203,93.184.216.34,443,TCP,145164,1575437,23000,79
2025-07-01T09:09:40,192.0.2.30,10563,151.101.1.69,443,TCP,187701,1764659,118000,571
2025-07-01T09:12:34,192.0.2.25,57302,203.0.113.10,443,TCP,151949,132079,64000,50
